2;1;H
2;2;H
2;3;H
2;4;H
2;5;H
2;6;H
2;7;H
2;8;H
2;9;H
2;10;D/H
2;11;D/H
2;12;H
2;13;S
2;14;S
2;15;S
2;16;S
2;17;S
2;18;S
2;19;S
2;20;S
2;21;S
2;A,2;H
2;A,3;H
2;A,4;H
2;A,5;H
2;A,6;H
2;A,7;S
2;A,8;S
2;A,9;S
2;A,10;S
2;2,2;P/H
2;3,3;P/H
2;4,4;H
2;5,5;D/H
2;6,6;P/H
2;7,7;P
2;8,8;P
2;9,9;P
2;10,1;S
2;A,A;P
3;1;H
3;2;H
3;3;H
3;4;H
3;5;H
3;6;H
3;7;H
3;8;H
3;9;D/H
3;10;D/H
3;11;D/H
3;12;H
3;13;S
3;14;S
3;15;S
3;16;S
3;17;S
3;18;S
3;19;S
3;20;S
3;21;S
3;A,2;H
3;A,3;H
3;A,4;H
3;A,5;H
3;A,6;D/H
3;A,7;D/S
3;A,8;S
3;A,9;S
3;A,10;S
3;2,2;P/H
3;3,3;P/H
3;4,4;H
3;5,5;D/H
3;6,6;P
3;7,7;P
3;8,8;P
3;9,9;P
3;10,1;S
3;A,A;P
4;1;H
4;2;H
4;3;H
4;4;H
4;5;H
4;6;H
4;7;H
4;8;H
4;9;D/H
4;10;D/H
4;11;D/H
4;12;S
4;13;S
4;14;S
4;15;S
4;16;S
4;17;S
4;18;S
4;19;S
4;20;S
4;21;S
4;A,2;H
4;A,3;H
4;A,4;D/H
4;A,5;D/H
4;A,6;D/H
4;A,7;D/S
4;A,8;S
4;A,9;S
4;A,10;S
4;2,2;P
4;3,3;P
4;4,4;H
4;5,5;D/H
4;6,6;P
4;7,7;P
4;8,8;P
4;9,9;P
4;10,1;S
4;A,A;P
5;1;H
5;2;H
5;3;H
5;4;H
5;5;H
5;6;H
5;7;H
5;8;H
5;9;D/H
5;10;D/H
5;11;D/H
5;12;S
5;13;S
5;14;S
5;15;S
5;16;S
5;17;S
5;18;S
5;19;S
5;20;S
5;21;S
5;A,2;D/H
5;A,3;D/H
5;A,4;D/H
5;A,5;D/H
5;A,6;D/H
5;A,7;D/S
5;A,8;S
5;A,9;S
5;A,10;S
5;2,2;P
5;3,3;P
5;4,4;P/H
5;5,5;D/H
5;6,6;P
5;7,7;P
5;8,8;P
5;9,9;P
5;10,1;S
5;A,A;P
6;1;H
6;2;H
6;3;H
6;4;H
6;5;H
6;6;H
6;7;H
6;8;H
6;9;D/H
6;10;D/H
6;11;D/H
6;12;S
6;13;S
6;14;S
6;15;S
6;16;S
6;17;S
6;18;S
6;19;S
6;20;S
6;21;S
6;A,2;D/H
6;A,3;D/H
6;A,4;D/H
6;A,5;D/H
6;A,6;D/H
6;A,7;D/S
6;A,8;S
6;A,9;S
6;A,10;S
6;2,2;P
6;3,3;P
6;4,4;P/H
6;5,5;D/H
6;6,6;P
6;7,7;P
6;8,8;P
6;9,9;P
6;10,1;S
6;A,A;P
7;1;H
7;2;H
7;3;H
7;4;H
7;5;H
7;6;H
7;7;H
7;8;H
7;9;H
7;10;D/H
7;11;D/H
7;12;H
7;13;H
7;14;H
7;15;H
7;16;H
7;17;S
7;18;S
7;19;S
7;20;S
7;21;S
7;A,2;H
7;A,3;H
7;A,4;H
7;A,5;H
7;A,6;H
7;A,7;S
7;A,8;S
7;A,9;S
7;A,10;S
7;2,2;P
7;3,3;P
7;4,4;H
7;5,5;D/H
7;6,6;H
7;7,7;P
7;8,8;P
7;9,9;S
7;10,1;S
7;A,A;P
8;1;H
8;2;H
8;3;H
8;4;H
8;5;H
8;6;H
8;7;H
8;8;H
8;9;H
8;10;D/H
8;11;D/H
8;12;H
8;13;H
8;14;H
8;15;H
8;16;H
8;17;S
8;18;S
8;19;S
8;20;S
8;21;S
8;A,2;H
8;A,3;H
8;A,4;H
8;A,5;H
8;A,6;H
8;A,7;S
8;A,8;S
8;A,9;S
8;A,10;S
8;2,2;H
8;3,3;H
8;4,4;H
8;5,5;D/H
8;6,6;H
8;7,7;H
8;8,8;P
8;9,9;P
8;10,1;S
8;A,A;P
9;1;H
9;2;H
9;3;H
9;4;H
9;5;H
9;6;H
9;7;H
9;8;H
9;9;H
9;10;D/H
9;11;D/H
9;12;H
9;13;H
9;14;H
9;15;H
9;16;R/H
9;17;S
9;18;S
9;19;S
9;20;S
9;21;S
9;A,2;H
9;A,3;H
9;A,4;H
9;A,5;H
9;A,6;H
9;A,7;H
9;A,8;S
9;A,9;S
9;A,10;S
9;2,2;H
9;3,3;H
9;4,4;H
9;5,5;D/H
9;6,6;H
9;7,7;H
9;8,8;P
9;9,9;P
9;10,1;S
9;A,A;P
10;1;H
10;2;H
10;3;H
10;4;H
10;5;H
10;6;H
10;7;H
10;8;H
10;9;H
10;10;H
10;11;D/H
10;12;H
10;13;H
10;14;H
10;15;R/H
10;16;R/H
10;17;S
10;18;S
10;19;S
10;20;S
10;21;S
10;A,2;H
10;A,3;H
10;A,4;H
10;A,5;H
10;A,6;H
10;A,7;H
10;A,8;S
10;A,9;S
10;A,10;S
10;2,2;H
10;3,3;H
10;4,4;H
10;5,5;H
10;6,6;H
10;7,7;H
10;8,8;P
10;9,9;S
10;10,1;S
10;A,A;P
A;1;H
A;2;H
A;3;H
A;4;H
A;5;H
A;6;H
A;7;H
A;8;H
A;9;H
A;10;H
A;11;D/H
A;12;H
A;13;H
A;14;H
A;15;H
A;16;R/H
A;17;S
A;18;S
A;19;S
A;20;S
A;21;S
A;A,2;H
A;A,3;H
A;A,4;H
A;A,5;H
A;A,6;H
A;A,7;H
A;A,8;S
A;A,9;S
A;A,10;S
A;2,2;H
A;3,3;H
A;4,4;H
A;5,5;H
A;6,6;H
A;7,7;H
A;8,8;P
A;9,9;S
A;10,1;S
A;A,A;P
